Task,Category,Data
Menu,Item,Link outlet
Menu,Item,Nama panjang
Menu,Item,Nama pendek (ShopeeFood)
Menu,Item,Store ID
Menu,Item,Nama kategori
Menu,Item,Nama item
Menu,Item,Jumlah terjual
Menu,Item,Jumlah modifier group
Menu,Item,Jumlah modifier
Menu,Item,Deskripsi item
Menu,Item,Harga item sebelum promo (harga coret)
Menu,Item,Harga item setelah promo (harga coret)
Menu,Item,Nominal atau persentase promo (harga coret)
Menu,Item,Ketersediaan item
Menu,Item,Link foto
Menu,Modifier,Link outlet
Menu,Modifier,Nama panjang
Menu,Modifier,Nama pendek (ShopeeFood)
Menu,Modifier,Store ID
Menu,Modifier,Nama item
Menu,Modifier,Nama modifier group
Menu,Modifier,Nama modifier
Menu,Modifier,Tipe modifier
Menu,Modifier,Minimal
Menu,Modifier,Maksimal
Menu,Modifier,Harga modifier
Menu,Modifier,Ketersediaan modifier